"","com","dom","gn","gid","Y","count","sumPOE","minPOE","maxPOE","meanPOE","sdPOE","kurtPOE","skewPOE","sumPDE","minPDE","maxPDE","meanPDE","sdPDE","kurtPDE","skewPDE","sumPME","minPME","maxPME","meanPME","sdPME","kurtPME","skewPME","pn","cdkey","pkey","easyScore","hardScore"
"1","IPC1998","gripper","strips-gripper-x-1","5a8be6ad9ec8e63cbb4c4cc0","a",364,1658.33333333334,3.57142857142857,8.33333333333333,4.55586080586082,1.54565063434243,81.9568176987718,96.6627487416078,1014.88095238095,0,8.33333333333333,2.78813448456305,3.0081790171435,11620.8267139799,1744.02082971925,16670.2894491129,0,79.4117647058823,45.797498486574,25.2173975809386,345134999465.407,733131731.380058,"1","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-1",-0.0567197845625429,0.0916632004036254
"2","IPC1998","gripper","strips-gripper-x-1","5a8be6ad9ec8e63cbb4c4cc0","f",175,871.952380952381,0,45.2380952380952,4.98258503401361,9.16088330275854,462005565.185296,2095585.3969629,389.250384024578,0,12.9032258064516,2.22428790871187,2.79932663416742,31121.4052055378,1758.84291391802,3033.88471177944,0,60,17.3364840673111,16.7663902182199,11237302134.1018,56032913.5570226,"1","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-1",-0.0567197845625429,0.0916632004036254
"3","IPC1998","gripper","strips-gripper-x-2","5a8bd5109ec8e65fa79aaca6","a",864,2924.01315789469,2.63157894736842,6.25,3.38427448830404,1.16986221373031,4.9790032198542,17.565695594797,1886.34868421052,0,6.25,2.18327394005847,2.2144926146737,935.976405457339,277.545274683768,39257.1611721608,0,81.25,45.4365291344453,24.2780972291029,261610785659.001,589480827.996426,"2","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-2",-0.000210550789363404,0.144947611443392
"4","IPC1998","gripper","strips-gripper-x-2","5a8bd5109ec8e65fa79aaca6","f",387,915.424876847291,0,46.551724137931,2.36543895826173,6.67858863427677,92993076.6037859,440098.501039094,742.843708016119,0,13.6363636363636,1.91949278557137,2.67278359176552,37042.6643833822,1687.47065598034,6188.7138787139,0,61.9047619047619,15.9915087305269,15.0208471527849,4506319732.03107,29605331.2948655,"2","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-2",-0.000210550789363404,0.144947611443392
"5","IPC1998","gripper","strips-gripper-x-3","5a8bec099ec8e64eaea08ce4","a",1572,4229.1666666667,2.08333333333333,5,2.69030958439358,0.936781632944072,-1.73939362633006,4.5626583665114,2795,0,5,1.77798982188295,1.74961203806809,135.68510742893,67.5852712622744,70668.4971645133,0,82.258064516129,44.9545147356955,23.9683975734398,238101473532.889,539011070.084571,"3","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-3",-0.0445693939367164,0.000196815464494908
"6","IPC1998","gripper","strips-gripper-x-3","5a8bec099ec8e64eaea08ce4","f",679,940.555555555557,0,47.2972972972973,1.38520700376371,5.19330178517304,23472406.7381164,128146.58709075,1103.65892207997,0,14.0350877192982,1.62541814739319,2.52461677631769,32590.3269184112,1370.11629767195,10149.7455050396,0,62.962962962963,14.9480787997638,14.1796177024591,2699909572.1337,20881998.8480827,"3","IPC1998-gripper","IPC1998-gripper-strips-gripper-x-3",-0.0445693939367164,0.000196815464494908
"7","IPC1998","logistics","strips-log-x-1","5a91e2d29ec8e629fdac1155","f",1079,2847.65224023266,0.389105058365759,23.7822349570201,2.63915870271794,3.26573031401292,238962.468416966,6176.50836511809,373.096338866694,0,2.8735632183908,0.345779739450134,0.53713754401516,-2.94892140689056,0.0801274234815371,7476.29543224301,0,37.5,6.92891142932624,7.95076904907985,42710158.9182067,654266.200837088,"1","IPC1998-logistics","IPC1998-logistics-strips-log-x-1",-0.166666666666667,0.0597646687008406
"8","IPC1998","logistics","strips-log-x-1","5a91e2d29ec8e629fdac1155","a",2795,1971.70902361122,0.515463917525773,1.16279069767442,0.705441511131026,0.195885428243906,-2.99999409013496,0.000462455024081427,1173.12037118141,0,1.16279069767442,0.419721063034494,0.361462609592815,-2.99949358995839,0.00530167666682924,52778.8505515209,0,44.672131147541,18.8833096785406,12.9482173326001,1380751764.1517,13334081.5302847,"1","IPC1998-logistics","IPC1998-logistics-strips-log-x-1",-0.166666666666667,0.0597646687008406
"9","IPC1998","logistics","strips-log-x-2","5a91ee849ec8e655f1f03ce5","a",5484,2358.3638384183,0.333333333333333,0.675675675675676,0.430044463606546,0.0958338239831171,-2.99999998007361,7.70940213737853e-06,1758.28216813651,0,0.675675675675676,0.320620380768874,0.198726579214767,-2.99999461072048,0.000161651644151427,101039.120424144,0,49.1569390402075,18.4243472691728,9.50023950018187,201451187.103763,2431801.01125462,"2","IPC1998-logistics","IPC1998-logistics-strips-log-x-2",-0.1,0.0924235963384869
"10","IPC1998","logistics","strips-log-x-2","5a91ee849ec8e655f1f03ce5","f",1342,2418.40774124882,0.165562913907285,18.1176470588235,1.80209220659376,3.02060485374979,106651.74865446,3518.27585080981,335.563293715971,0,1.62748643761302,0.250047163722781,0.398870440159439,-2.99721884763927,0.0113166592342064,9114.36245384428,0,30.2325581395349,6.79162626963061,7.89127173430643,32358958.0921516,592962.962695322,"2","IPC1998-logistics","IPC1998-logistics-strips-log-x-2",-0.1,0.0924235963384869
"11","IPC1998","movie","strips-movie-x-1","5a92420d9ec8e60b5eb4fa49","f",59,196.446540880503,1.66666666666667,3.77358490566038,3.32960238780514,0.644178372858693,-2.84081856417308,0.603139176417138,1.66666666666667,0,1.66666666666667,0.0282485875706215,0.21513483349898,-2.99973836726607,0.000768072866880539,200,0,100,3.38983050847458,18.0967428000531,316730419920.719,194089512.914148,"1","IPC1998-movie","IPC1998-movie-strips-movie-x-1",0,3.40633407971331e-05
"12","IPC1998","movie","strips-movie-x-1","5a92420d9ec8e60b5eb4fa49","a",113,342.424242424242,3.03030303030303,3.03030303030303,3.03030303030302,2.52881091065364e-07,-3,-1.72357637539191e-34,6.06060606060606,0,3.03030303030303,0.053633681952266,0.39956193150312,-2.9645829088027,0.0308607573228203,866.666666666666,0,100,7.66961651917404,17.6197280016886,147444060905.425,129134435.394603,"1","IPC1998-movie","IPC1998-movie-strips-movie-x-1",0,3.40633407971331e-05
