"","com","planner","dom","gn","Class","Cfactor","Cresp","Ctran","R2","Dist","MahaDist","MahaOut","CookDist","CookOut","Disc"
"1","IPC1998","blackbox","gripper","strips-gripper-x-1",1,"D","Time","D^-10vTime^-10",0.84440350776726,14.6503592964471,0.440722712264216,0,0.00184373991220593,0,0
"2","IPC1998","stan","gripper","strips-gripper-x-1",1,"D","Time","D^-10vTime^-10",0.812888386475125,-4029.41773055356,2.67355055825929,0,0.106774701619185,1,0
"3","IPC1998","ipp","gripper","strips-gripper-x-1",2,"D","Time","D^-10vTime^-10",0.816889806428509,-24.1262887054248,1.7149964251247,0,0.036016830812541,0,2
"4","IPC1998","hsp","gripper","strips-gripper-x-1",1,"D","Time","D^-10vTime^-10",0.427294803533458,-89131.5737588478,1.7411599883097,0,0.041397889919677,0,0
"45","IPC1998","stan","gripper","strips-gripper-x-2",2,"D","Time","D^-10vTime^-10",0.812888386475125,-5.23613322731456,0.520031823361153,0,0.00272729147274941,0,2
"46","IPC1998","blackbox","gripper","strips-gripper-x-2",2,"D","Time","D^-10vTime^-10",0.84440350776726,5336.00815655283,2.79514297782545,0,0.111880724639439,1,2
"47","IPC1998","hsp","gripper","strips-gripper-x-2",1,"D","Time","D^-10vTime^-10",0.427294803533458,-785436.505438901,3.01356780927882,0,0.122919167258816,1,0
"48","IPC1998","ipp","gripper","strips-gripper-x-2",2,"D","Time","D^-10vTime^-10",0.816889806428509,-7.98771043892107,1.18867483062223,0,0.0163415819686744,0,2
"53","IPC1998","stan","gripper","strips-gripper-x-3",2,"D","Time","D^-10vTime^-10",0.812888386475125,-20.0567383928151,1.63502189553751,0,0.0335888787149865,0,2
"54","IPC1998","hsp","gripper","strips-gripper-x-3",2,"D","Time","D^-10vTime^-10",0.427294803533458,-933.858602647741,1.17916613040536,0,0.0144072019978477,0,2
"56","IPC1998","ipp","gripper","strips-gripper-x-3",0,"D","Time","D^-10vTime^-10",0.816889806428509,0,0.740669566598347,0,0.0014323876628893,0,0
"85","IPC1998","stan","logistics","strips-log-x-1",2,"D","Time","D^-10vTime^-10",0.812888386475125,-3.34694626454506,0.827145329501701,0,0.00450256142337307,0,2
"86","IPC1998","ipp","logistics","strips-log-x-1",1,"D","Time","D^-10vTime^-10",0.816889806428509,-0.406949886368263,0.766333773958415,0,0.00177813521759372,0,0
"87","IPC1998","blackbox","logistics","strips-log-x-1",1,"D","Time","D^-10vTime^-10",0.84440350776726,60.3073789284934,1.96074927555256,0,0.0447229744337287,0,0
"88","IPC1998","hsp","logistics","strips-log-x-1",2,"D","Time","D^-10vTime^-10",0.427294803533458,-48.8388944971662,0.760607768815022,0,0.00171051209734989,0,2
"129","IPC1998","blackbox","logistics","strips-log-x-2",1,"D","Time","D^-10vTime^-10",0.84440350776726,2.20319416284279,0.800325065022968,0,0.00207400810157992,0,0
"131","IPC1998","hsp","logistics","strips-log-x-2",2,"D","Time","D^-10vTime^-10",0.427294803533458,-108.598138282047,0.811542391517165,0,0.00244452498078237,0,2
"132","IPC1998","stan","logistics","strips-log-x-2",2,"D","Time","D^-10vTime^-10",0.812888386475125,-2.00797324864262,0.782949839307392,0,0.00315736229083463,0,2
"196","IPC1998","hsp","logistics","strips-log-x-7",2,"D","Time","D^-10vTime^-10",0.427294803533458,-57.7385168529199,0.81023071529116,0,0.00191210664707933,0,2
"225","IPC1998","ipp","movie","strips-movie-x-1",0,"D","Time","D^-10vTime^-10",0.816889806428509,0,0.715749011235492,0,0.000156422272201645,0,2
"226","IPC1998","hsp","movie","strips-movie-x-1",0,"D","Time","D^-10vTime^-10",0.427294803533458,0,0.776393444630629,0,0.000525638590200585,0,0
"227","IPC1998","stan","movie","strips-movie-x-1",2,"D","Time","D^-10vTime^-10",0.812888386475125,-0.712714727750008,0.747973511804828,0,0.00210069746035242,0,2
"228","IPC1998","blackbox","movie","strips-movie-x-1",0,"D","Time","D^-10vTime^-10",0.84440350776726,0,0.787585335570716,0,0.00139513164925874,0,0
"229","IPC1998","stan","movie","strips-movie-x-10",0,"D","Time","D^-10vTime^-10",0.812888386475125,0,0.721652702084547,0,0.00129437408240509,0,2
"230","IPC1998","blackbox","movie","strips-movie-x-10",0,"D","Time","D^-10vTime^-10",0.84440350776726,0,0.772753508323414,0,0.000675381914771912,0,0
"231","IPC1998","hsp","movie","strips-movie-x-10",0,"D","Time","D^-10vTime^-10",0.427294803533458,0,0.80034691234331,0,0.000647308391387275,0,2
"232","IPC1998","ipp","movie","strips-movie-x-10",1,"D","Time","D^-10vTime^-10",0.816889806428509,-1.8331347209752,0.812079618698229,0,0.00247827956202632,0,0
"233","IPC1998","stan","movie","strips-movie-x-11",0,"D","Time","D^-10vTime^-10",0.812888386475125,0,0.689108349643355,0,0.000368853862192887,0,2
"234","IPC1998","hsp","movie","strips-movie-x-11",0,"D","Time","D^-10vTime^-10",0.427294803533458,0,0.814166688725267,0,0.000532181356515212,0,2
"235","IPC1998","ipp","movie","strips-movie-x-11",1,"D","Time","D^-10vTime^-10",0.816889806428509,-2.43024855107344,0.832497180914208,0,0.00282587362094734,0,0
"236","IPC1998","blackbox","movie","strips-movie-x-11",0,"D","Time","D^-10vTime^-10",0.84440350776726,0,0.761997713265202,0,7.47578896098002e-05,0,0
"237","IPC1998","ipp","movie","strips-movie-x-12",2,"D","Time","D^-10vTime^-10",0.816889806428509,-5.58997939360887,1.10824693948592,0,0.0123387430284222,0,2
"238","IPC1998","stan","movie","strips-movie-x-12",0,"D","Time","D^-10vTime^-10",0.812888386475125,0,0.684008316137166,0,0.000109843515269026,0,2
"239","IPC1998","blackbox","movie","strips-movie-x-12",0,"D","Time","D^-10vTime^-10",0.84440350776726,0,0.773520065560041,0,7.05030768797634e-05,0,0
"240","IPC1998","hsp","movie","strips-movie-x-12",0,"D","Time","D^-10vTime^-10",0.427294803533458,0,0.81436759006685,0,4.9887652081932e-05,0,2
"241","IPC1998","blackbox","movie","strips-movie-x-13",0,"D","Time","D^-10vTime^-10",0.84440350776726,0,0.78236558026659,0,2.05087781391922e-05,0,2
"242","IPC1998","hsp","movie","strips-movie-x-13",0,"D","Time","D^-10vTime^-10",0.427294803533458,0,0.833521850943963,0,0.000130472610173003,0,2
"243","IPC1998","ipp","movie","strips-movie-x-13",1,"D","Time","D^-10vTime^-10",0.816889806428509,-3.45026183087728,0.86918182453071,0,0.00350594410019352,0,0
"244","IPC1998","stan","movie","strips-movie-x-13",0,"D","Time","D^-10vTime^-10",0.812888386475125,0,0.685701235192057,0,2.02730149259959e-05,0,0
"245","IPC1998","hsp","movie","strips-movie-x-14",0,"D","Time","D^-10vTime^-10",0.427294803533458,0,0.845412283407589,0,2.44662837034223e-05,0,2
"246","IPC1998","blackbox","movie","strips-movie-x-14",0,"D","Time","D^-10vTime^-10",0.84440350776726,0,0.795583161227474,0,0.000114172225535759,0,2
"247","IPC1998","ipp","movie","strips-movie-x-14",2,"D","Time","D^-10vTime^-10",0.816889806428509,-5.08547340979639,1.09294507389837,0,0.0114487903932869,0,2
